Source File	English Term	Bulgarian Term	Justification
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	Thyroid Function Tests	Изследвания на щитовидната жлеза	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	Autoantibody Panel	Панел за автоантитела	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	Diabetic Retinopathy	Диабетна ретинопатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	Albuminuria	Албуминурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	SARS-CoV-2	SARS-CoV-2	The name of the virus causing COVID-19 is used as is in Bulgarian.
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	Follow-Up Care	Проследяване и последващи грижи	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	Diabetes Education Program	Програма за обучение на пациенти с диабет	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_10_BGgpt_terms_EN_BG.txt	Physician's Signature	Подпис на лекуващия лекар	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Diabetes Mellitus	Захарен диабет	Standard Bulgarian medical term for the disease.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Type 1 Diabetes	Захарен диабет тип 1	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Polyuria	Полиурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Polydipsia	Полидипсия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Nocturnal Enuresis	Нощна енуреза	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose (FPG)	Глюкоза на гладно	Standard Bulgarian term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin (HbA1C)	Гликиран хемоглобин	Standard Bulgarian term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Oral Glucose Tolerance Test (OGTT)	Орален глюкозо-толерантен тест	Standard Bulgarian term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	C-Peptide Test	C-пептид	Standard Bulgarian term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Autoantibodies	Автоантитела	Standard Bulgarian term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Insulin Glargine (Lantus)	Инсулин гларгин (Лантус)	Standard Bulgarian term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Insulin Lispro (Humalog)	Инсулин лизпро (Хумалог)	Standard Bulgarian term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Peripheral Neuropathy	Периферна невропатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	LDL Cholesterol	LDL холестерол	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	Funduscopic Examination	Офталмоскопия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_11_BGgpt_terms_EN_BG.txt	SARS-CoV-2 Vaccine	Ваксина срещу SARS-CoV-2	Standard Bulgarian term.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term for Type 1 Diabetes.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose	Кръвна захар на гладно	Standard Bulgarian medical term for fasting blood glucose.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin	Гликиран хемоглобин / HbA1c	Standard Bulgarian medical term for glycated hemoglobin.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Oral Glucose Tolerance Test	Орален глюкозо-толерантен тест	Standard Bulgarian medical term for OGTT.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Insulin Glargine	Инсулин гларгин	Approved Bulgarian name for Lantus.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Insulin Lispro	Инсулин лиспро	Approved Bulgarian name for Humalog.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Microalbuminuria	Микроалбуминурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Endocrinology	Ендокринология	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations
endocrinology_type 1 diabetes_12_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Patient	Пациент / Болен	Пациент - preferred, more impersonal; Болен - also correct, but sounds more direct.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	History and Physical Examination	Анамнеза и обективно състояние	Standard Bulgarian medical terms.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Diagnostic Workup	Диагностични изследвания / Допълнителни изследвания	Preferred: Диагностични изследвания; Допълнителни изследвания is also correct.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose	Кръвна захар на гладно	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin	Гликиран хемоглобин	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	HbA1C	HbA1c	HbA1c is used in Bulgarian medical practice.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Oral Glucose Tolerance Test	Орален глюкозотолерантен тест	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Random Plasma Glucose	Случайна кръвна захар	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	C-peptide	C-пептид	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Insulin Therapy	Инсулинова терапия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Basal-bolus insulin therapy	Базално-болусна инсулинова терапия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Insulin Glargine	Инсулин гларгин	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Insulin Lispro	Инсулин лиспро	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Dietary Consultation	Консултация с диетолог	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Educational Materials	Образователни материали	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_13_BGgpt_terms_EN_BG.txt	Summary and Prognosis	Обобщение и прогноза	Standard Bulgarian medical terms.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Endocrine Unit	Ендокринологично отделение	Standard Bulgarian medical term for hospital unit.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Type 1 Diabetes	Захарен диабет тип 1	Standard Bulgarian medical term for the condition.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Polydipsia	Полидипсия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Polyuria	Полиурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Polyphagia	Полифагия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	HEENT	Глава и шия	Standard Bulgarian abbreviation for Head, Eyes, Ears, Nose, Throat.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	PERRLA	Изохорични, фотореактивни зеници	Standard Bulgarian medical term for Pupils Equal, Round, Reactive to Light and Accommodation.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	EOMI	Движения на очните ябълки в пълен обем	Standard Bulgarian medical term for Extraocular Movements Intact.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose (FPG)	Глюкоза на гладно	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin (HbA1C)	Гликиран хемоглобин	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	C-Peptide	С-пептид	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Urinalysis	Изследване на урина	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Glucosuria	Глюкозурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Ketonuria	Кетонурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Insulin Glargine	Инсулин гларгин	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Insulin Lispro	Инсулин лизпро	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Ophthalmology	Офталмология	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Podiatry	Подиатрия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Albuminuria	Албуминурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Blood Pressure (BP)	Артериално кръвно налягане (АКН)	Standard Bulgarian medical abbreviation and term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Heart Rate (HR)	Сърдечна честота	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Temperature	Температура	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Respiratory Rate	Дихателна честота	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_14_BGgpt_terms_EN_BG.txt	Funduscopic Examination	Фундоскопия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term for high blood glucose.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Polyuria	Полиурия	Standard Bulgarian medical term for frequent urination.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Polydipsia	Полидипсия	Standard Bulgarian medical term for excessive thirst.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose (FPG)	Гликемия на гладно	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin (HbA1C)	Гликиран хемоглобин (HbA1C)	Standard Bulgarian abbreviation and term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Autoantibodies	Аутоантитела	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Oral Glucose Tolerance Test (OGTT)	Орален глюкозо-толерантен тест (ОГТТ)	Standard Bulgarian abbreviation and term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Basal-bolus insulin therapy	Базално-болусна инсулинова терапия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Glargine	Гларгин	Standard Bulgarian name of the insulin medication.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Lispro	Лиспро	Standard Bulgarian name of the insulin medication.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term for low blood glucose.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Funduscopic examination	Офталмологичен преглед (на очното дъно)	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Retinopathy	Ретинопатия	Standard Bulgarian medical term for eye disease.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Albuminuria	Албуминурия	Standard Bulgarian medical term for protein in the urine.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Peripheral neuropathy	Периферна невропатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_15_BGgpt_terms_EN_BG.txt	Lipid profile	Липиден профил	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Polyuria	Полиурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Polydipsia	Полидипсия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose (FPG)	Кръвна захар на гладно (КЗГ)	Standard Bulgarian abbreviation and term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin (HbA1C)	Гликиран хемоглобин (HbA1C)	Standard Bulgarian term. HbA1C is commonly used as is.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Oral Glucose Tolerance Test (OGTT)	Орален глюкозо-толерантен тест (ОГТТ)	Standard Bulgarian abbreviation and term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Basal-Bolus Insulin Therapy	Базално-болусна инсулинова терапия	Standard Bulgarian term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Peripheral Neuropathy	Периферна невропатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Funduscopic Examination	Офталмологичен преглед / Оглед на очното дъно	Standard Bulgarian term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Urine Albumin	Албумин в урината	Standard Bulgarian term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Serum Creatinine	Серумен креатинин	Standard Bulgarian term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Euglycemia	Евгликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_16_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose (FPG)	Кръвна захар на гладно (КЗГ)	Standard abbreviation КЗГ is commonly used in Bulgarian medical practice.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin (HbA1C)	Гликиран хемоглобин (HbA1C)	Standard Bulgarian medical term. The abbreviation HbA1C is widely used.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Foot examination	Преглед на стъпала	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Peripheral neuropathy	Периферна невропатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Diabetic retinopathy	Диабетна ретинопатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Urine albumin-to-creatinine ratio	Съотношение албумин/креатинин в урина	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Microalbuminuria	Микроалбуминурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	ACE inhibitor	АСЕ-инхибитор	Standard Bulgarian medical abbreviation.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Lipid profile	Липиден профил	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_17_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Polyuria	Полиурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Polydipsia	Полидипсия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose (FPG)	Кръвна захар на гладно (КЗГ)	Standard Bulgarian abbreviation and term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin (HbA1c)	Гликиран хемоглобин (HbA1c)	Standard Bulgarian abbreviation and term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Random Plasma Glucose	Кръвна захар на случаен принцип	Standard Bulgarian term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Intravenous infusion	Интравенозна инфузия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Basal-bolus insulin regimen	Базално-болусен инсулинов режим	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Insulin Glargine	Инсулин гларгин	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Insulin Lispro	Инсулин лизпро	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Peripheral neuropathy	Периферна невропатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Retinopathy	Ретинопатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Albuminuria	Албуминурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Serum creatinine	Серумен креатинин	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	LDL cholesterol	ЛДЛ холестерол	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Statin therapy	Статинова терапия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Pneumococcal pneumonia	Пневмококова пневмония	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Sliding scale	Плъзгаща скала (дозиране)	Common Bulgarian translation.
endocrinology_type 1 diabetes_18_BGgpt_terms_EN_BG.txt	Glycemic control	Гликемичен контрол	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние	Standard Bulgarian medical term for patient status.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечение и поведение по време на хоспитализацията	Standard Bulgarian medical term for patient treatment.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Hospital Course	Лечение и поведение по време на хоспитализацията	Standard Bulgarian medical term for patient treatment.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term for the disease.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Polydipsia	Полидипсия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Polyuria	Полиурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin	Гликиран хемоглобин (HbA1c)	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Ketones	Кетони	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Peripheral Neuropathy	Периферна невропатия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Hypoglycemia	Хипогликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Hyperglycemia	Хипергликемия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Ketoacidosis	Кетоацидоза	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Albuminuria	Албуминурия	Standard Bulgarian medical term.
endocrinology_type 1 diabetes_19_BGgpt_terms_EN_BG.txt	Funduscopic Examination	Офталмоскопия	Standard Bulgarian medical term for eye examination.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Type 1 Diabetes Mellitus	Захарен диабет тип 1	Standard Bulgarian medical term for the condition.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Glycosylated Hemoglobin	Гликиран хемоглобин	Standard Bulgarian medical term for HbA1C.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Fasting Plasma Glucose (FPG)	Глюкоза на гладно	Standard Bulgarian medical term for FPG.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Random Plasma Glucose	Случайна кръвна захар	Standard Bulgarian medical term for the test.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Oral Glucose Tolerance Test (OGTT)	Орален глюкозо-толерантен тест	Standard Bulgarian medical term for the test.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Diabetic Ketoacidosis (DKA)	Диабетна кетоацидоза	Standard Bulgarian medical term for the complication.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Insulin Glargine	Инсулин гларгин	Standard Bulgarian medical term for the medication.
endocrinology_type 1 diabetes_1_BGgpt_terms_EN_BG.txt	Insulin Lispro	Инсулин лизпро	Standard Bulgarian medical term for the medication.
